date,region,product,revenue,units
2024-01-01,North,Widget A,12500,250
2024-01-01,South,Widget A,9800,196
2024-01-01,East,Widget B,15200,304
2024-01-01,West,Widget B,11300,226
2024-02-01,North,Widget A,13200,264
2024-02-01,South,Widget A,10100,202
2024-02-01,East,Widget B,16100,322
2024-02-01,West,Widget B,11800,236
2024-03-01,North,Widget A,14100,282
2024-03-01,South,Widget A,10500,210
2024-03-01,East,Widget B,16800,336
2024-03-01,West,Widget B,12200,244
2024-04-01,North,Widget A,13800,276
2024-04-01,South,Widget A,11200,224
2024-04-01,East,Widget B,17500,350
2024-04-01,West,Widget B,12900,258
2024-05-01,North,Widget A,14500,290
2024-05-01,South,Widget A,11800,236
2024-05-01,East,Widget B,18200,364
2024-05-01,West,Widget B,13500,270
2024-06-01,North,Widget A,15200,304
2024-06-01,South,Widget A,12100,242
2024-06-01,East,Widget B,18900,378
2024-06-01,West,Widget B,14100,282
2024-07-01,North,Widget A,15800,316
2024-07-01,South,Widget A,12500,250
2024-07-01,East,Widget B,19500,390
2024-07-01,West,Widget B,14800,296
2024-08-01,North,Widget A,16200,324
2024-08-01,South,Widget A,12800,256
2024-08-01,East,Widget B,20100,402
2024-08-01,West,Widget B,15200,304
2024-09-01,North,Widget A,16800,336
2024-09-01,South,Widget A,13200,264
2024-09-01,East,Widget B,20800,416
2024-09-01,West,Widget B,15800,316
2024-10-01,North,Widget A,17500,350
2024-10-01,South,Widget A,13800,276
2024-10-01,East,Widget B,21500,430
2024-10-01,West,Widget B,16500,330
2024-11-01,North,Widget A,18200,364
2024-11-01,South,Widget A,14200,284
2024-11-01,East,Widget B,22200,444
2024-11-01,West,Widget B,17200,344
2024-12-01,North,Widget A,19000,380
2024-12-01,South,Widget A,14800,296
2024-12-01,East,Widget B,23000,460
2024-12-01,West,Widget B,18000,360
